,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4_gobbi,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,4.709406181250516e-58,4.168124520625935e-23,5.260683765624438e-14,3.176121649663576e-15,1.508057820157186e-33,1.5121995500612078e-11,9.328046826174062e-25,1.876257617827883e-11,0.00018708142528087583,5.660334936755484e-17,1.0,0.017220003710229376,3.676181761674212e-05,2.8555660606960604e-15,0.00012937548764582068
Cats2d,4.709406181250516e-58,1.0,6.467156240566814e-27,2.736236705340307e-33,6.370163781234541e-35,2.3762728337165913e-19,1.176349964021621e-33,5.863786733617069e-23,2.3221816137613185e-38,1.882932018899189e-41,1.508796317322361e-24,4.243072286284126e-62,2.052253411826422e-64,8.191060929257169e-68,1.2073441125280337e-31,8.268283768576545e-46
ECFP2,4.168124520625935e-23,6.467156240566814e-27,1.0,0.4557461209008182,0.5424901770800984,0.28780691080518933,0.19550593106742858,1.0,0.008644762242664073,2.589645341991668e-06,1.0,5.513267249146747e-28,3.2211838636298625e-33,4.19167783643985e-38,1.0,4.567582455510322e-08
ECFP4,5.260683765624438e-14,2.736236705340307e-33,0.4557461209008182,1.0,1.0,8.998566043282963e-05,1.0,0.046188960832397916,1.0,0.046188960832397916,1.0,3.1233484858515643e-18,7.450010767597061e-23,1.1690538297890064e-27,1.0,0.009844093341403053
ECFP6,3.176121649663576e-15,6.370163781234541e-35,0.5424901770800984,1.0,1.0,6.599891589011793e-05,1.0,0.04722191754728223,1.0,0.029147311836326413,1.0,2.574737033148766e-19,4.408404099949731e-24,1.2141354406194676e-28,1.0,0.0038483005643360616
MACCs,1.508057820157186e-33,2.3762728337165913e-19,0.28780691080518933,8.998566043282963e-05,6.599891589011793e-05,1.0,1.8552407256055398e-05,1.0,3.7530795388470774e-08,8.081712594497468e-13,0.18841739091110118,1.2992728194538092e-37,7.248248930311411e-43,1.1344531673061196e-47,0.001158330586792631,1.8693661543950046e-15
Map4,1.5121995500612078e-11,1.176349964021621e-33,0.19550593106742858,1.0,1.0,1.8552407256055398e-05,1.0,0.01743264548549106,1.0,0.22670509786393664,0.9291566499557163,4.2754562291128497e-16,1.3319678405635672e-20,2.3115206580673633e-25,1.0,0.07000956549973558
Mol2vec,9.328046826174062e-25,5.863786733617069e-23,1.0,0.046188960832397916,0.04722191754728223,1.0,0.01743264548549106,1.0,0.0003345382481915721,5.5866363057492784e-08,1.0,2.9209948987162615e-29,4.5000699251967464e-34,3.783919065794537e-39,0.22232351157578892,1.068462688093908e-09
Mordred,1.876257617827883e-11,2.3221816137613185e-38,0.008644762242664073,1.0,1.0,3.7530795388470774e-08,1.0,0.0003345382481915721,1.0,0.6318704973229113,0.19550593106742858,2.245029425344229e-15,3.1391005845420146e-20,5.7648091601553245e-25,1.0,0.285385159434227
Ph4_gobbi,0.00018708142528087583,1.882932018899189e-41,2.589645341991668e-06,0.046188960832397916,0.029147311836326413,8.081712594497468e-13,0.22670509786393664,5.5866363057492784e-08,0.6318704973229113,1.0,0.0003116454806116085,8.085552528560687e-08,8.402282932843721e-12,8.548435854527495e-16,0.009769637739241877,1.0
Pubchem,5.660334936755484e-17,1.508796317322361e-24,1.0,1.0,1.0,0.18841739091110118,0.9291566499557163,1.0,0.19550593106742858,0.0003116454806116085,1.0,1.2912808190449169e-21,2.982900525032933e-26,4.618283730375927e-31,1.0,3.143259877479885e-05
RDK5,1.0,4.243072286284126e-62,5.513267249146747e-28,3.1233484858515643e-18,2.574737033148766e-19,1.2992728194538092e-37,4.2754562291128497e-16,2.9209948987162615e-29,2.245029425344229e-15,8.085552528560687e-08,1.2912808190449169e-21,1.0,1.0,0.17483981675552307,3.9551293514818386e-20,3.685773228831569e-08
RDK6,0.017220003710229376,2.052253411826422e-64,3.2211838636298625e-33,7.450010767597061e-23,4.408404099949731e-24,7.248248930311411e-43,1.3319678405635672e-20,4.5000699251967464e-34,3.1391005845420146e-20,8.402282932843721e-12,2.982900525032933e-26,1.0,1.0,1.0,7.58601323103046e-25,2.5725598091289817e-12
RDK7,3.676181761674212e-05,8.191060929257169e-68,4.19167783643985e-38,1.1690538297890064e-27,1.2141354406194676e-28,1.1344531673061196e-47,2.3115206580673633e-25,3.783919065794537e-39,5.7648091601553245e-25,8.548435854527495e-16,4.618283730375927e-31,0.17483981675552307,1.0,1.0,7.774857080897741e-30,1.516380957954311e-16
RDKdes,2.8555660606960604e-15,1.2073441125280337e-31,1.0,1.0,1.0,0.001158330586792631,1.0,0.22232351157578892,1.0,0.009769637739241877,1.0,3.9551293514818386e-20,7.58601323103046e-25,7.774857080897741e-30,1.0,0.001158330586792631
Secfp,0.00012937548764582068,8.268283768576545e-46,4.567582455510322e-08,0.009844093341403053,0.0038483005643360616,1.8693661543950046e-15,0.07000956549973558,1.068462688093908e-09,0.285385159434227,1.0,3.143259877479885e-05,3.685773228831569e-08,2.5725598091289817e-12,1.516380957954311e-16,0.001158330586792631,1.0
