,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4_gobbi,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,0.0013681574899371567,0.06350764658105394,1.0,0.2988721766570442,0.028841761742710748,1.0,1.0,1.0,1.0,0.05451983423446106,1.0,1.0,1.0,1.0,1.0
Cats2d,0.0013681574899371567,1.0,1.0,0.11015561047498998,0.1924801865865293,1.0,0.10044927149917224,0.38035130018172164,0.03928487878025723,0.02937784452101848,1.0,8.456553837748649e-05,1.3807241567376869e-05,2.1309680532943083e-05,0.1809856141679555,0.016773799993369358
ECFP2,0.06350764658105394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0055688793676592595,0.000732546330530024,0.000732546330530024,1.0,1.0
ECFP4,1.0,0.11015561047498998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12061085606357698,0.025989059318955517,0.039970066019157646,1.0,1.0
ECFP6,0.2988721766570442,0.1924801865865293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03859091044404314,0.0042581031926959365,0.004023464797136434,1.0,1.0
MACCs,0.028841761742710748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6700932068780097,1.0,0.0009185460733697081,5.426794680152646e-05,7.043355574014681e-05,1.0,0.696081327327412
Map4,1.0,0.10044927149917224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26006974934357496,0.05071527241655259,0.0727367742375819,1.0,1.0
Mol2vec,1.0,0.38035130018172164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06449009234403677,0.005672634979307456,0.01709928237250084,1.0,1.0
Mordred,1.0,0.03928487878025723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6902417334455371,0.14440274119739022,0.24507852716388914,1.0,1.0
Ph4_gobbi,1.0,0.02937784452101848,1.0,1.0,1.0,0.6700932068780097,1.0,1.0,1.0,1.0,1.0,1.0,0.12061085606357698,0.2628164626041468,1.0,1.0
Pubchem,0.05451983423446106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006394798258820617,0.000563164153439096,0.0006422062447731646,1.0,1.0
RDK5,1.0,8.456553837748649e-05,0.0055688793676592595,0.12061085606357698,0.03859091044404314,0.0009185460733697081,0.26006974934357496,0.06449009234403677,0.6902417334455371,1.0,0.006394798258820617,1.0,1.0,1.0,0.07609378310711826,1.0
RDK6,1.0,1.3807241567376869e-05,0.000732546330530024,0.025989059318955517,0.0042581031926959365,5.426794680152646e-05,0.05071527241655259,0.005672634979307456,0.14440274119739022,0.12061085606357698,0.000563164153439096,1.0,1.0,1.0,0.005440130071888307,0.1501995538175126
RDK7,1.0,2.1309680532943083e-05,0.000732546330530024,0.039970066019157646,0.004023464797136434,7.043355574014681e-05,0.0727367742375819,0.01709928237250084,0.24507852716388914,0.2628164626041468,0.0006422062447731646,1.0,1.0,1.0,0.01848313870828384,0.2424884782665326
RDKdes,1.0,0.1809856141679555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07609378310711826,0.005440130071888307,0.01848313870828384,1.0,1.0
Secfp,1.0,0.016773799993369358,1.0,1.0,1.0,0.696081327327412,1.0,1.0,1.0,1.0,1.0,1.0,0.1501995538175126,0.2424884782665326,1.0,1.0
