,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4_gobbi,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,5.028957164154767e-41,2.566205643812153e-19,3.5979893528359427e-13,6.322297485145921e-16,1.744977071809266e-27,7.078113261951895e-14,3.5718862993262384e-21,3.6930899446579165e-12,0.0007008585672374825,6.0708961746204714e-18,1.0,0.014466308098727084,0.00018670639290812045,4.2854905380300875e-16,3.375130059594516e-05
Cats2d,5.028957164154767e-41,1.0,2.690833115965431e-26,4.875966547710131e-28,4.941378716392237e-28,1.6407649239706543e-19,6.780211603345837e-30,1.433702561951649e-20,2.1913090408380984e-30,9.716364959160914e-35,2.103013785772195e-24,9.400469197922303e-43,1.9727870640323575e-42,1.2253889553516767e-45,1.1979866855725141e-27,5.58550761491397e-38
ECFP2,2.566205643812153e-19,2.690833115965431e-26,1.0,1.0,0.1594451904095698,0.1498498388213153,0.1986317086215558,1.0,0.0023355279137554255,8.485849854530268e-07,1.0,2.9731017017502336e-25,6.394314901802469e-33,7.549215093008496e-29,1.0,6.952894082480247e-10
ECFP4,3.5979893528359427e-13,4.875966547710131e-28,1.0,1.0,1.0,1.2579561224720813e-05,1.0,0.0035791154548763366,1.0,0.08721474183597781,0.39959773701444556,1.4636514622368162e-15,2.0998275047103067e-20,1.8774565448881345e-21,1.0,0.0008703908437519534
ECFP6,6.322297485145921e-16,4.941378716392237e-28,0.1594451904095698,1.0,1.0,1.3300427859707233e-07,1.0,0.00426956773513861,1.0,0.03662970445281576,0.9761718601897807,2.1112096688265352e-19,6.363611123801088e-21,1.2545281766743251e-23,1.0,0.005318873218474381
MACCs,1.744977071809266e-27,1.6407649239706543e-19,0.1498498388213153,1.2579561224720813e-05,1.3300427859707233e-07,1.0,1.8711751576430058e-07,0.9761718601897807,1.8722982196880946e-08,2.04333195702162e-10,0.2956359734257481,7.873277054695951e-32,1.0912412735099594e-33,4.258403020569776e-37,1.2579561224720813e-05,5.2829178353835985e-15
Map4,7.078113261951895e-14,6.780211603345837e-30,0.1986317086215558,1.0,1.0,1.8711751576430058e-07,1.0,0.001288563387538159,1.0,0.1398950557891827,0.34498449755528504,3.892381452518599e-16,1.5532122964220314e-18,3.435377065510522e-20,1.0,0.006100592307023413
Mol2vec,3.5718862993262384e-21,1.433702561951649e-20,1.0,0.0035791154548763366,0.00426956773513861,0.9761718601897807,0.001288563387538159,1.0,0.0009821615801378452,1.17211865646798e-06,0.8748431198463957,1.1771677599585414e-27,2.5885965083271134e-28,3.747123356340138e-35,0.3594566129951382,6.514236557315916e-11
Mordred,3.6930899446579165e-12,2.1913090408380984e-30,0.0023355279137554255,1.0,1.0,1.8722982196880946e-08,1.0,0.0009821615801378452,1.0,0.5986808075207735,0.029461929291022128,3.9463054942792637e-16,5.586610283835681e-22,1.374781332748242e-24,1.0,0.13030730942905858
Ph4_gobbi,0.0007008585672374825,9.716364959160914e-35,8.485849854530268e-07,0.08721474183597781,0.03662970445281576,2.04333195702162e-10,0.1398950557891827,1.17211865646798e-06,0.5986808075207735,1.0,0.0015051146437278639,9.824642001214078e-10,1.2410303372204691e-12,2.803263980017115e-17,0.023574660724229455,1.0
Pubchem,6.0708961746204714e-18,2.103013785772195e-24,1.0,0.39959773701444556,0.9761718601897807,0.2956359734257481,0.34498449755528504,0.8748431198463957,0.029461929291022128,0.0015051146437278639,1.0,5.197521684887141e-24,1.0327946623363578e-25,1.1746928643831763e-25,1.0,2.1670468745926907e-06
RDK5,1.0,9.400469197922303e-43,2.9731017017502336e-25,1.4636514622368162e-15,2.1112096688265352e-19,7.873277054695951e-32,3.892381452518599e-16,1.1771677599585414e-27,3.9463054942792637e-16,9.824642001214078e-10,5.197521684887141e-24,1.0,1.0,0.01737423111128389,6.39925428436868e-18,5.173843472486869e-10
RDK6,0.014466308098727084,1.9727870640323575e-42,6.394314901802469e-33,2.0998275047103067e-20,6.363611123801088e-21,1.0912412735099594e-33,1.5532122964220314e-18,2.5885965083271134e-28,5.586610283835681e-22,1.2410303372204691e-12,1.0327946623363578e-25,1.0,1.0,0.8009728167283446,1.245235556521105e-22,2.3871076397393816e-12
RDK7,0.00018670639290812045,1.2253889553516767e-45,7.549215093008496e-29,1.8774565448881345e-21,1.2545281766743251e-23,4.258403020569776e-37,3.435377065510522e-20,3.747123356340138e-35,1.374781332748242e-24,2.803263980017115e-17,1.1746928643831763e-25,0.01737423111128389,0.8009728167283446,1.0,5.992820197669097e-25,3.178895770657181e-15
RDKdes,4.2854905380300875e-16,1.1979866855725141e-27,1.0,1.0,1.0,1.2579561224720813e-05,1.0,0.3594566129951382,1.0,0.023574660724229455,1.0,6.39925428436868e-18,1.245235556521105e-22,5.992820197669097e-25,1.0,0.0018862903714608728
Secfp,3.375130059594516e-05,5.58550761491397e-38,6.952894082480247e-10,0.0008703908437519534,0.005318873218474381,5.2829178353835985e-15,0.006100592307023413,6.514236557315916e-11,0.13030730942905858,1.0,2.1670468745926907e-06,5.173843472486869e-10,2.3871076397393816e-12,3.178895770657181e-15,0.0018862903714608728,1.0
